PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthRet,MthVol,ShrOut,DisFacPr,vwretd
86755,46090E10,QQQ,35013,2012-09-28,68.570000,0.008886,642935638,506700,0.000000,0.026513
86755,46090E10,QQQ,35013,2012-10-31,64.950000,-0.052793,859339127,472300,,-0.014055
86755,46090E10,QQQ,35013,2012-11-30,65.800000,0.013087,904666184,466800,,0.006217
86755,46090E10,QQQ,35013,2012-12-31,65.130100,-0.004615,810647779,467050,0.000000,0.012569
86755,46090E10,QQQ,35013,2013-01-31,66.870000,0.026714,739649338,490600,,0.054142
86755,46090E10,QQQ,35013,2013-02-28,67.100000,0.003440,655815534,460100,,0.008282
86755,46090E10,QQQ,35013,2013-03-28,68.970000,0.030259,556287444,461800,0.000000,0.035295
86755,46090E10,QQQ,35013,2013-04-30,70.720000,0.025373,834127860,465400,,0.014939
86755,46090E10,QQQ,35013,2013-05-31,73.250000,0.035775,679714808,475100,,0.019128
86755,46090E10,QQQ,35013,2013-06-28,71.270000,-0.023942,747757634,472200,0.000000,-0.015072
86755,46090E10,QQQ,35013,2013-07-31,75.770000,0.063140,580945459,488750,,0.052658
86755,46090E10,QQQ,35013,2013-08-30,75.470000,-0.003959,527817556,474300,,-0.025750
86755,46090E10,QQQ,35013,2013-09-30,78.880000,0.048329,504027829,485000,0.000000,0.037497
86755,46090E10,QQQ,35013,2013-10-31,82.790000,0.049569,815310170,500750,,0.039888
86755,46090E10,QQQ,35013,2013-11-29,85.730000,0.035512,540314462,497600,,0.024956
86755,46090E10,QQQ,35013,2013-12-31,87.960000,0.029243,650551361,515550,0.000000,0.026140
86755,46090E10,QQQ,35013,2014-01-31,86.270000,-0.019213,834200881,497600,,-0.030020
86755,46090E10,QQQ,35013,2014-02-28,90.340000,0.051498,718130395,517200,0.000000,0.046198
86755,46090E10,QQQ,35013,2014-03-31,87.670000,-0.027308,809606831,501050,0.000000,0.004540
86755,46090E10,QQQ,35013,2014-04-30,87.390000,-0.003194,1143277126,467200,,0.001573
86755,46090E10,QQQ,35013,2014-05-30,91.310000,0.044856,789221242,475000,,0.020254
86755,46090E10,QQQ,35013,2014-06-30,93.910000,0.031236,568747117,465950,0.000000,0.027973
86755,46090E10,QQQ,35013,2014-07-31,95.020000,0.011820,662218127,474200,,-0.020555
86755,46090E10,QQQ,35013,2014-08-29,99.780000,0.050095,647625306,468600,,0.040205
86755,46090E10,QQQ,35013,2014-09-30,98.790000,-0.007567,756480462,431250,0.000000,-0.025196
86755,46090E10,QQQ,35013,2014-10-31,101.400000,0.026420,1284981531,399000,,0.021164
86755,46090E10,QQQ,35013,2014-11-28,106.010000,0.045464,437510934,428200,,0.021104
86755,46090E10,QQQ,35013,2014-12-31,103.250000,-0.022424,816714654,392050,0.000000,-0.003659
86755,46090E10,QQQ,35013,2015-01-30,101.100000,-0.020823,827170389,362200,,-0.027163
86755,46090E10,QQQ,35013,2015-02-27,108.400000,0.072206,473000914,368400,,0.055915
86755,46090E10,QQQ,35013,2015-03-31,105.600000,-0.023604,633491643,365600,0.000000,-0.010397
86755,46090E10,QQQ,35013,2015-04-30,107.630000,0.019223,569711679,367250,,0.008766
86755,46090E10,QQQ,35013,2015-05-29,110.050000,0.022484,518922146,354550,,0.010277
86755,46090E10,QQQ,35013,2015-06-30,107.070000,-0.024828,577619407,362150,0.000000,-0.019231
86755,46090E10,QQQ,35013,2015-07-31,111.950000,0.045578,645944515,364400,,0.012108
86755,46090E10,QQQ,35013,2015-08-31,104.310000,-0.068245,1010218459,363600,,-0.059926
86755,46090E10,QQQ,35013,2015-09-30,101.760000,-0.022039,884739609,362500,0.000000,-0.033756
86755,46090E10,QQQ,35013,2015-10-30,113.330000,0.113699,740977395,371750,,0.073937
86755,46090E10,QQQ,35013,2015-11-30,114.020000,0.006088,543846216,378000,,0.002404
86755,46090E10,QQQ,35013,2015-12-31,111.860000,-0.015886,757383174,382000,0.000000,-0.022209
86755,46090E10,QQQ,35013,2016-01-29,104.130000,-0.069104,1077365708,362800,,-0.057085
86755,46090E10,QQQ,35013,2016-02-29,102.500000,-0.015654,943130133,353200,,0.000620
86755,46090E10,QQQ,35013,2016-03-31,109.200000,0.068519,602676336,356900,0.000000,0.070491
86755,46090E10,QQQ,35013,2016-04-29,105.720000,-0.031868,560605244,342800,,0.011718
86755,46090E10,QQQ,35013,2016-05-31,110.340000,0.043700,537483377,334750,,0.014340
86755,46090E10,QQQ,35013,2016-06-30,107.540000,-0.022753,584771406,321500,0.000000,0.002947
86755,46090E10,QQQ,35013,2016-07-29,115.230000,0.071508,421987114,332400,,0.038815
86755,46090E10,QQQ,35013,2016-08-31,116.440000,0.010501,364756289,340550,,0.002800
86755,46090E10,QQQ,35013,2016-09-30,118.720000,0.022135,543749881,331250,0.000000,0.003013
86755,46090E10,QQQ,35013,2016-10-31,116.990000,-0.014572,407817936,348100,,-0.021544
86755,46090E10,QQQ,35013,2016-11-30,117.500000,0.004359,610283576,349000,,0.040488
86755,46090E10,QQQ,35013,2016-12-30,118.480000,0.011333,500012669,353000,0.000000,0.018763
86755,46090E10,QQQ,35013,2017-01-31,124.570000,0.051401,366459738,346400,,0.022153
86755,46090E10,QQQ,35013,2017-02-28,130.020000,0.043751,307907905,348450,,0.032598
86755,46090E10,QQQ,35013,2017-03-31,132.380000,0.020271,443078223,359700,0.000000,0.002062
86755,46090E10,QQQ,35013,2017-04-28,135.990000,0.027270,388564896,362000,,0.009655
86755,46090E10,QQQ,35013,2017-05-31,141.290000,0.038973,535227974,369600,,0.009335
86755,46090E10,QQQ,35013,2017-06-30,137.640000,-0.023165,1047595025,360600,0.000000,0.009571
86755,46090E10,QQQ,35013,2017-07-31,143.230000,0.040613,705077751,351600,,0.020277
86755,46090E10,QQQ,35013,2017-08-31,146.200000,0.020736,810987355,364400,,0.001600
86755,46090E10,QQQ,35013,2017-09-29,145.450000,-0.002947,635976368,359850,0.000000,0.023729
86755,46090E10,QQQ,35013,2017-10-31,152.150000,0.046064,550058935,376250,,0.019275
